revid,parentid,timestamp,user,anon,minor,size,sha1,comment,page,lang,date,weekday,hour,size_diff,revert_sha1,revert_kw,is_revert
1000,999,2025-08-22 11:23:00+00:00,IP_126.14,True,True,40146,sha1000,ajout paragraphe,Page_Controversee_(demo),fr,2025-08-22,Friday,11,0,False,False,False
1001,1000,2025-08-23 16:29:00+00:00,Utilisateur_23,False,False,39350,sha41,ajout source,Page_Controversee_(demo),fr,2025-08-23,Saturday,16,-796,False,False,False
1003,1002,2025-08-25 16:25:00+00:00,Utilisateur_23,False,True,39172,sha1003,correction typo,Page_Controversee_(demo),fr,2025-08-25,Monday,16,-178,False,False,False
1002,1001,2025-08-25 20:42:00+00:00,Utilisateur_2,False,False,39133,sha1002,ajout paragraphe,Page_Controversee_(demo),fr,2025-08-25,Monday,20,-39,False,False,False
1004,1003,2025-08-29 18:45:00+00:00,IP_134.181,True,False,39823,sha1004,ajout paragraphe,Page_Controversee_(demo),fr,2025-08-29,Friday,18,690,False,False,False
1005,1004,2025-08-30 11:48:00+00:00,IP_252.128,True,False,40405,sha1005,màj références,Page_Controversee_(demo),fr,2025-08-30,Saturday,11,582,False,False,False
1006,1005,2025-09-03 16:28:00+00:00,IP_120.78,True,True,40585,sha1006,ajout paragraphe,Page_Controversee_(demo),fr,2025-09-03,Wednesday,16,180,False,False,False
1007,1006,2025-09-04 17:11:00+00:00,Utilisateur_14,False,False,39911,sha47,correction,Page_Controversee_(demo),fr,2025-09-04,Thursday,17,-674,False,False,False
1008,1007,2025-09-05 15:33:00+00:00,Utilisateur_23,False,False,39508,sha48,revert non neutre,Page_Controversee_(demo),fr,2025-09-05,Friday,15,-403,False,True,True
1009,1008,2025-09-05 17:55:00+00:00,Utilisateur_23,False,False,39474,sha1009,reformulation,Page_Controversee_(demo),fr,2025-09-05,Friday,17,-34,False,False,False
1138,1137,2025-09-11 03:05:00+00:00,Utilisateur_10,False,True,33851,sha58,correction,Page_Controversee_(demo),fr,2025-09-11,Thursday,3,-5623,False,False,False
1130,1129,2025-09-11 03:27:00+00:00,Utilisateur_9,False,True,32798,sha1130,màj références,Page_Controversee_(demo),fr,2025-09-11,Thursday,3,-1053,False,False,False
1027,1026,2025-09-11 04:12:00+00:00,Utilisateur_6,False,True,36430,sha1027,màj références,Page_Controversee_(demo),fr,2025-09-11,Thursday,4,3632,False,False,False
1106,1105,2025-09-11 04:45:00+00:00,IP_28.117,True,False,33816,sha26,revert non neutre,Page_Controversee_(demo),fr,2025-09-11,Thursday,4,-2614,False,True,True
1098,1097,2025-09-11 05:27:00+00:00,IP_49.120,True,False,33038,sha1098,précision,Page_Controversee_(demo),fr,2025-09-11,Thursday,5,-778,False,False,False
1021,1020,2025-09-11 05:31:00+00:00,Utilisateur_6,False,True,37250,sha1021,correction typo,Page_Controversee_(demo),fr,2025-09-11,Thursday,5,4212,False,False,False
1079,1078,2025-09-11 06:44:00+00:00,Utilisateur_6,False,False,35082,sha1079,correction typo,Page_Controversee_(demo),fr,2025-09-11,Thursday,6,-2168,False,False,False
1057,1056,2025-09-11 07:14:00+00:00,Utilisateur_23,False,False,37675,sha1057,correction typo,Page_Controversee_(demo),fr,2025-09-11,Thursday,7,2593,False,False,False
1041,1040,2025-09-11 07:23:00+00:00,IP_5.168,True,False,36550,sha1041,précision,Page_Controversee_(demo),fr,2025-09-11,Thursday,7,-1125,False,False,False
1111,1110,2025-09-11 08:16:00+00:00,Utilisateur_13,False,False,33638,sha1111,màj références,Page_Controversee_(demo),fr,2025-09-11,Thursday,8,-2912,False,False,False
1034,1033,2025-09-11 08:24:00+00:00,Utilisateur_23,False,True,37131,sha1034,màj références,Page_Controversee_(demo),fr,2025-09-11,Thursday,8,3493,False,False,False
1149,1148,2025-09-11 08:32:00+00:00,Utilisateur_14,False,False,34547,sha1149,précision,Page_Controversee_(demo),fr,2025-09-11,Thursday,8,-2584,False,False,False
1059,1058,2025-09-11 08:44:00+00:00,Utilisateur_2,False,False,37379,sha1059,précision,Page_Controversee_(demo),fr,2025-09-11,Thursday,8,2832,False,False,False
1018,1017,2025-09-11 08:57:00+00:00,IP_13.237,True,False,37005,sha1018,précision,Page_Controversee_(demo),fr,2025-09-11,Thursday,8,-374,False,False,False
1104,1103,2025-09-11 09:06:00+00:00,IP_108.19,True,False,33361,sha1104,ajout paragraphe,Page_Controversee_(demo),fr,2025-09-11,Thursday,9,-3644,False,False,False
1043,1042,2025-09-11 09:15:00+00:00,IP_2.141,True,False,36712,sha1043,reformulation,Page_Controversee_(demo),fr,2025-09-11,Thursday,9,3351,False,False,False
1070,1069,2025-09-11 09:16:00+00:00,IP_72.101,True,False,36095,sha50,correction,Page_Controversee_(demo),fr,2025-09-11,Thursday,9,-617,False,False,False
1073,1072,2025-09-11 09:17:00+00:00,Utilisateur_25,False,False,35887,sha1073,reformulation,Page_Controversee_(demo),fr,2025-09-11,Thursday,9,-208,False,False,False
1019,1018,2025-09-11 09:23:00+00:00,IP_204.231,True,True,36829,sha1019,correction typo,Page_Controversee_(demo),fr,2025-09-11,Thursday,9,942,False,False,False
1121,1120,2025-09-11 09:26:00+00:00,IP_176.159,True,True,32239,sha1121,précision,Page_Controversee_(demo),fr,2025-09-11,Thursday,9,-4590,False,False,False
1055,1054,2025-09-11 09:28:00+00:00,Utilisateur_5,False,False,37560,sha35,mise en forme,Page_Controversee_(demo),fr,2025-09-11,Thursday,9,5321,False,False,False
1016,1015,2025-09-11 09:30:00+00:00,Utilisateur_25,False,False,36522,sha1016,précision,Page_Controversee_(demo),fr,2025-09-11,Thursday,9,-1038,False,False,False
1083,1082,2025-09-11 09:41:00+00:00,Utilisateur_6,False,False,35281,sha1083,correction typo,Page_Controversee_(demo),fr,2025-09-11,Thursday,9,-1241,False,False,False
1013,1012,2025-09-11 09:48:00+00:00,Utilisateur_23,False,False,37734,sha1013,précision,Page_Controversee_(demo),fr,2025-09-11,Thursday,9,2453,False,False,False
1035,1034,2025-09-11 09:51:00+00:00,IP_174.189,True,False,36675,sha1035,correction typo,Page_Controversee_(demo),fr,2025-09-11,Thursday,9,-1059,False,False,False
1146,1145,2025-09-11 10:08:00+00:00,Utilisateur_23,False,False,34763,sha1146,ajout paragraphe,Page_Controversee_(demo),fr,2025-09-11,Thursday,10,-1912,False,False,False
1047,1046,2025-09-11 10:08:00+00:00,Utilisateur_1,False,False,37162,sha1047,màj références,Page_Controversee_(demo),fr,2025-09-11,Thursday,10,2399,False,False,False
1058,1057,2025-09-11 10:21:00+00:00,IP_243.104,True,True,37503,sha1058,ajout paragraphe,Page_Controversee_(demo),fr,2025-09-11,Thursday,10,341,False,False,False
1032,1031,2025-09-11 10:38:00+00:00,IP_98.228,True,False,36764,sha12,mise en forme,Page_Controversee_(demo),fr,2025-09-11,Thursday,10,-739,False,False,False
