revid,parentid,timestamp,user,anon,minor,size,sha1,comment,page,lang
389242,0,2004-04-22T20:39:17Z,Kelson,False,True,112,d29eaff5be1fcac705e52ce8e8c2240923648483,création,Vaccination,fr
521577,389242,2004-04-22T20:42:45Z,Kelson,False,True,1532,662d1f076ecc2e301fd882121a20ebd54653cd41,fusion avec vaccin,Vaccination,fr
537794,521577,2004-06-10T22:45:57Z,Tieum,False,True,1542,c9700f36d39973cfa4b353859f2eb158c0a6b41c,+cat,Vaccination,fr
538709,537794,2004-06-17T06:25:00Z,80.140.42.51,True,True,1578,820712eb05f7a3a546467b86f46d7ed370522430,+ en: + de:,Vaccination,fr
538764,538709,2004-06-17T13:25:56Z,Ske,False,True,1653,3e8dcf812f42fc2161f5024c8207eecf03400144,image,Vaccination,fr
538777,538764,2004-06-17T13:56:17Z,Ifernyen,False,True,1662,8cb1c5c2eff3d663cf02295366ceab66926773b3,"ortho, typo",Vaccination,fr
539272,538777,2004-06-17T14:01:28Z,COLETTE,False,True,1718,7b0a98854187ba72944e8baacfcb6c98f3ea36b3,"""""",Vaccination,fr
552533,539272,2004-06-17T17:32:40Z,Fafnir,False,True,1818,b8dc3d68573977e7e0eec7e4c2d2088088f0533f,ajout hyposensibilisation,Vaccination,fr
552546,552533,2004-06-22T13:06:26Z,Cdang,False,True,2007,37e0f6057c38454e0c2a4c47948668f4115e00ca,"louis pasteur, liens wiki",Vaccination,fr
552551,552546,2004-06-22T13:09:21Z,Cdang,False,True,2304,656a605285980da2450c82ec6f62af5e1b0e7b74,vaccins obligatoires,Vaccination,fr
552562,552551,2004-06-22T13:10:28Z,Cdang,False,True,2376,571afea6d3eb910e1db61e6dead6151ae4f8e6d5,lien externe,Vaccination,fr
552564,552562,2004-06-22T13:14:47Z,Cdang,False,True,2654,1bbfc9ef7f572d7c6e303254b612347d3da42b27,/* Histoire du vaccin */ dates issues de l'article sur pasteur,Vaccination,fr
552875,552564,2004-06-22T13:16:02Z,Cdang,False,True,2724,3ec09dd2b221f135fe959629a1ab600ef5240474,/* Histoire du vaccin */,Vaccination,fr
599481,552875,2004-06-22T15:01:19Z,Kelson,False,True,2723,76d3d081728ef6f504484aae1a2b3a92551cbef4,ortho.,Vaccination,fr
599720,599481,2004-07-08T17:29:56Z,Phe,False,True,2724,890e19a9a243648f3c8ef4d13acd08cfd21b6f54,typo lien,Vaccination,fr
599725,599720,2004-07-08T20:22:36Z,Wishmaster,False,True,2885,ba9d40c1803a3ffd6b7515ad0d0c90c47f911555,/* Vaccins obligatoires */  + vaccin pentavalent,Vaccination,fr
601854,599725,2004-07-08T20:25:05Z,Wishmaster,False,True,2884,e5be8837323329ac5723bb467ec235005fe8cdee,/* Vaccins obligatoires */,Vaccination,fr
624155,601854,2004-07-09T16:31:59Z,Kelson,False,True,2880,ae395c69e455fee089fea47fb5d6724eb1989813,- ]],Vaccination,fr
624211,624155,2004-07-17T15:07:08Z,Ske,False,True,3429,177530899e29531b3e6e38814fb9401db9483ab5,/* Histoire du vaccin */  Jenner,Vaccination,fr
633794,624211,2004-07-17T15:09:02Z,Ske,False,True,3294,82ea3d2447e8bdf6cf5deacd50815e1b796ad0f7,/* Histoire du vaccin */  typos,Vaccination,fr
641885,633794,2004-07-19T14:48:04Z,Louisym,False,True,3310,a8f0af519f5291b0242ff1cdc23c993574f50e80,/* Histoire du vaccin */,Vaccination,fr
642871,641885,2004-07-22T13:55:54Z,Tieum,False,True,3348,a2a11b9314815ea843a61c7332dc81a6b9ab123e,,Vaccination,fr
691849,642871,2004-07-22T19:56:11Z,Tieum,False,True,3379,0f686ed6aa40c839313c503b23ab5d7ea1c9502f,,Vaccination,fr
707488,691849,2004-08-10T11:17:45Z,Pfinge,False,True,3787,65a829785d8291b4089095f8c4b5c8533cba7052,/* Vaccins obligatoires */,Vaccination,fr
707501,707488,2004-08-13T19:57:10Z,Greudin,False,True,3817,a5d9cfb68edc8fe024294ec3933c193999e82062,+chrono vaccins,Vaccination,fr
